-10	-25.75
-9	-24.15
-8	-22.53
-7	-20.93
-6	-19.32
-5	-17.68
-4	-16.08
-3	-14.47
-2	-12.85
-1	-11.28
0	-9.66
1	-8.02
2	-6.4
3	-4.77
4	-3.13
5	-1.5
6	0.159
7	1.78
8	3.4
9	5.03
10	6.67
